VISDATA
21
0 0
1 12  6 7 8 16 3 2 15 13 14 19 17 20 
2 12  6 7 8 16 3 1 15 13 14 17 19 20 
3 12  6 7 8 16 1 2 13 15 19 14 17 20 
4 0
5 0
6 12  3 1 2 16 15 13 17 14 19 8 20 7 
7 12  3 1 2 13 15 14 17 16 19 20 8 6 
8 12  3 1 2 6 7 16 15 13 14 17 19 20 
9 0
10 0
11 0
12 0
13 12  17 7 16 19 20 6 15 14 3 1 2 8 
14 12  19 20 17 16 7 15 6 13 1 3 2 8 
15 12  17 16 7 14 6 19 20 13 1 2 3 8 
16 12  6 3 1 17 15 13 14 2 19 7 20 8 
17 12  13 15 16 14 7 20 6 19 3 1 2 8 
18 0
19 12  14 16 13 15 7 6 20 17 3 1 2 8 
20 12  14 17 13 15 16 7 6 19 3 1 2 8 
